part_names,lifetime,load_cap,load_act,temp_act,Decision
active_interface_module,30277624,50,47,43,Yes
relay_emergency_block,6417721,87,14,59,Yes
proximity_magnetic_sensor,20159771,93,50,145,No
bus_transmitter,20004355,84,9,51,Yes
relay_emergency_block,28153019,87,22,72,No
fuse_holder,10996733,38,20,148,Yes
encoder,16908911,75,46,109,Yes
auxiliary_switch_block,8584176,31,5,59,No
fan_motor,10492189,57,39,51,Yes
ac_servo_synchronous_motor,25536256,93,81,63,Yes
digital_input,15145813,51,2,116,Yes
proximity_magnetic_sensor,16257286,97,52,75,Yes
ac_servo_synchronous_motor,7463584,7,2,46,Yes
computer,31520782,78,45,44,No
switch_disconnector,23187806,98,69,42,Yes
digital_input,7962027,73,72,45,No
repeater,22052909,67,3,92,Yes
single_motor_module,17473329,52,22,42,Yes
analog_output,23462335,93,51,65,Yes
single_motor_module,5226029,17,11,68,No
auxiliary_switch_block,29518427,71,7,147,No
transformator,24886270,47,4,101,No
proportional_valve,13612663,83,67,95,Yes
auxiliary_switch_block,19650904,97,56,141,No
interface_module,3605668,91,8,134,Yes
relay_emergency_block,30675161,49,27,92,Yes
encoder,31485245,28,23,39,No
limit_switch,16779558,70,23,71,Yes
air_conditioner_panel,8458652,16,7,126,Yes
encoder,24857930,44,27,60,No
limit_switch,3998309,52,14,117,No
circuit_breaker_motor_protection,20669604,70,55,33,No
control_unit,9437240,94,32,147,Yes
fuse_holder,11083423,79,26,96,No
active_interface_module,20778674,65,59,138,No
circuit_breaker_motor_protection,12332749,74,66,50,Yes
digital_output,6625687,33,28,144,No
interface_module,11182852,77,76,86,Yes
contactor,27796920,47,41,61,Yes
fan_motor,16536785,62,13,116,No
sensor_angle,25259612,21,18,76,Yes
emergency_switch,23559882,42,14,122,No
digital_input,12355523,79,19,92,Yes
analog_input,13255494,56,6,76,No
analog_output,8057341,88,13,43,Yes
analog_input,14235695,49,48,150,Yes
mcb_1_phase,3283197,62,18,108,No
digital_output,18874616,38,35,92,Yes
power_supply,29779083,88,42,78,Yes
sensor_module_cabinet,18192582,96,33,112,No
ac_induction_motor,17750174,80,43,141,Yes
analog_output,27617896,38,27,64,Yes
active_interface_module,24213335,76,5,72,No
relay_emergency_block,30812384,41,27,43,No
ac_induction_motor,19747552,73,30,67,No
circuit_breaker_motor_protection,13251752,77,58,78,No
control_unit,28411144,95,53,49,No
interface_module,24699040,78,49,31,No
double_motor_module,8040735,83,31,32,Yes
sensor_module_cabinet,27427422,98,69,109,Yes
digital_output,23028771,73,46,42,Yes
control_module_profibus,19828525,82,11,47,No
fuse_holder,6287299,25,11,56,Yes
fuse_holder,9186032,34,19,48,Yes
power_supply,30248318,65,58,66,Yes
gearbox,9476003,84,75,45,Yes
selenoid_valve,17928912,39,31,59,Yes
bus_transmitter,15816360,82,22,150,No
interface_module,14502464,61,6,137,No
active_interface_module,26262443,72,34,66,No
circuit_breaker_motor_protection,22081986,87,49,131,Yes
gearbox,16340144,85,23,85,No
relay_emergency_block,24189958,44,36,46,Yes
contactor,28178378,74,33,54,No
repeater,24372240,97,70,32,Yes
bus_transmitter,10258066,61,47,88,Yes
nh_fuse,21996716,94,80,67,No
proportional_valve,11632739,55,32,57,Yes
auxiliary_switch_block,23606159,42,19,48,No
computer,4945952,33,16,130,Yes
ac_induction_motor,24747718,54,4,33,Yes
digital_input,3130081,90,7,42,No
nh_fuse,17274160,92,13,71,Yes
analog_input,21507626,37,11,49,Yes
proportional_valve,28416337,49,41,116,Yes
control_unit,23468337,92,27,126,Yes
digital_input,13748787,90,43,68,No
air_conditioner_panel,5151750,10,8,73,Yes
ac_servo_synchronous_motor,14769174,94,92,73,No
emergency_switch,31165438,53,42,133,No
proximity_sensor,7676703,98,33,131,Yes
active_line_module,19432426,66,36,74,Yes
selenoid_valve,21295471,96,45,111,Yes
proximity_magnetic_sensor,15750990,97,55,60,Yes
digital_input,28963583,91,43,38,Yes
double_motor_module,2768450,35,4,69,Yes
sensor_angle,29231653,97,50,142,No
repeater,19058142,40,16,64,No
interface_module,25553255,24,3,137,Yes
analog_input,9807691,73,73,45,Yes
circuit_breaker_motor_protection,14017544,71,50,42,No
sensor_reflex,15791576,69,35,97,No
single_motor_module,7617877,98,19,88,No
limit_switch,26556137,87,60,104,Yes
contactor,29566547,59,17,148,No
limit_switch,9419663,52,37,36,Yes
proximity_sensor,21283583,68,13,74,Yes
sensor_angle,13108238,91,20,98,No
analog_input,9613912,58,56,117,No
single_motor_module,25433685,60,56,64,Yes
active_interface_module,13729922,91,55,107,No
power_supply,17493652,96,32,101,Yes
digital_output,17644264,98,60,106,No
line_reactor,24814439,99,78,135,Yes
auxiliary_switch_block,12940525,79,38,149,Yes
line_reactor,18812802,86,7,55,Yes
circuit_breaker_motor_protection,5406244,63,32,150,Yes
sensor_angle,29859631,36,24,102,No
output_interface,8388541,100,31,43,Yes
emergency_switch,13264301,76,43,70,Yes
proportional_valve,7318943,60,47,46,No
ac_induction_motor,16197322,46,11,83,No
switch_disconnector,10276708,76,41,137,No
ac_induction_motor,8267465,57,22,39,Yes
selenoid_valve,6120156,65,35,71,Yes
single_motor_module,18543166,34,26,63,Yes
limit_switch,22820180,99,18,115,No
gearbox,11620110,89,24,97,Yes
bus_transmitter,5545280,39,28,73,Yes
proximity_sensor,20510794,67,26,53,Yes
fan_motor,17917379,20,17,122,Yes
limit_switch,18843865,80,38,86,No
digital_output,16798579,85,80,34,Yes
circuit_breaker_motor_protection,26594076,83,17,44,Yes
limit_switch,6831635,31,24,126,No
digital_output,9160255,69,25,50,Yes
encoder,27227564,99,38,118,No
computer,6521194,74,37,146,Yes
digital_input,3810268,82,14,58,No
analog_output,14817882,39,6,105,Yes
